#key	text
about vra	About V Raveendar and Associates

vra	V Raveendar and Associates
osr	Omm Sarveshwara Realtors
auction	Auctionable Properties

phase i	Due Diligence Stage
phase ii	Preliminary Stage
phase iii	Planning Stage
phase iv	Execution Stage
phase v	Handover and Showcase
